,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,has_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,living_area,suburb,rural
0,7129300520,2014,221900.0,3,1.0,1180,5650,1.0,0,0,3,7,1180,0,1955,0,98178,47.5112,-122.257,1340,5650,0.8805970149253731,1.0,0.0
1,6414100192,2014,538000.0,3,2.25,2570,7242,2.0,0,0,3,7,2170,1,1951,0,98125,47.721,-122.319,1690,7639,1.5207100591715976,0.0,0.0
2,5631500400,2015,180000.0,2,1.0,770,10000,1.0,0,0,3,6,770,0,1933,0,98028,47.7379,-122.233,2720,8062,0.28308823529411764,1.0,0.0
3,2487200875,2014,604000.0,4,3.0,1960,5000,1.0,0,0,5,7,1050,1,1965,0,98136,47.5208,-122.393,1360,5000,1.4411764705882353,0.0,0.0
4,1954400510,2015,510000.0,3,2.0,1680,8080,1.0,0,0,3,8,1680,0,1987,0,98074,47.6168,-122.045,1800,7503,0.9333333333333333,1.0,0.0
6,1321400060,2014,257500.0,3,2.25,1715,6819,2.0,0,0,3,7,1715,0,1995,0,98003,47.3097,-122.327,2238,6819,0.7663092046470062,1.0,0.0
7,2008000270,2015,291850.0,3,1.5,1060,9711,1.0,0,1,3,7,1060,0,1963,0,98198,47.4095,-122.315,1650,9711,0.6424242424242425,1.0,0.0
8,2414600126,2015,229500.0,3,1.0,1780,7470,1.0,0,0,3,7,1050,1,1960,0,98146,47.5123,-122.337,1780,8113,1.0,1.0,0.0
9,3793500160,2015,323000.0,3,2.5,1890,6560,2.0,0,0,3,7,1890,0,2003,0,98038,47.3684,-122.031,2390,7570,0.7907949790794979,0.0,1.0
10,1736800520,15,662500.0,3,2.5,3560,9796,1.0,0,0,3,8,1860,1,1965,0,98007,47.6007,-122.145,2210,8925,1.6108597285067874,1.0,0.0
11,9212900260,2014,468000.0,2,1.0,1160,6000,1.0,0,0,4,7,860,1,1942,0,98115,47.69,-122.292,1330,6000,0.8721804511278195,0.0,0.0
12,114101516,2014,310000.0,3,1.0,1430,19901,1.5,0,0,4,7,1430,0,1927,0,98028,47.7558,-122.229,1780,12697,0.8033707865168539,1.0,0.0
13,6054650070,2014,400000.0,3,1.75,1370,9680,1.0,0,0,4,7,1370,0,1977,0,98074,47.6127,-122.045,1370,10208,1.0,1.0,0.0
14,1175000570,2015,530000.0,5,2.0,1810,4850,1.5,0,0,3,7,1810,0,1900,0,98107,47.67,-122.394,1360,4850,1.3308823529411764,0.0,0.0
15,9297300055,2015,650000.0,4,3.0,2950,5000,2.0,0,1,3,9,1980,1,1979,0,98126,47.5714,-122.375,2140,4000,1.3785046728971964,0.0,0.0
16,1875500060,2014,395000.0,3,2.0,1890,14040,2.0,0,0,3,7,1890,0,1994,0,98019,47.7277,-121.962,1890,14018,1.0,0.0,1.0
17,6865200140,2014,485000.0,4,1.0,1600,4300,1.5,0,0,4,7,1600,0,1916,0,98103,47.6648,-122.343,1610,4300,0.9937888198757764,0.0,0.0
18,16000397,2014,189000.0,2,1.0,1200,9850,1.0,0,0,4,7,1200,0,1921,0,98002,47.3089,-122.21,1060,5095,1.1320754716981132,1.0,0.0
19,7983200060,2015,230000.0,3,1.0,1250,9774,1.0,0,0,4,7,1250,0,1969,0,98003,47.3343,-122.306,1280,8850,0.9765625,1.0,0.0
20,6300500875,2014,385000.0,4,1.75,1620,4980,1.0,0,0,4,7,860,1,1947,0,98133,47.7025,-122.341,1400,4980,1.1571428571428573,0.0,0.0
22,7137970340,14,285000.0,5,2.5,2270,6300,2.0,0,0,3,8,2270,0,1995,0,98092,47.3266,-122.169,2240,7005,1.0133928571428572,0.0,1.0
23,8091400200,2014,252700.0,2,1.5,1070,9643,1.0,0,0,3,7,1070,0,1985,0,98030,47.3533,-122.166,1220,8386,0.8770491803278688,1.0,0.0
24,3814700200,2014,329000.0,3,2.25,2450,6500,2.0,0,0,4,8,2450,0,1985,0,98030,47.3739,-122.172,2200,6865,1.1136363636363635,1.0,0.0
25,1202000200,2014,233000.0,3,2.0,1710,4697,1.5,0,0,5,6,1710,0,1941,0,98002,47.3048,-122.218,1030,4705,1.6601941747572815,1.0,0.0
26,1794500383,2014,937000.0,3,1.75,2450,2691,2.0,0,0,3,8,1750,1,1915,0,98119,47.6386,-122.36,1760,3573,1.3920454545454546,0.0,0.0
27,3303700376,2014,667000.0,3,1.0,1400,1581,1.5,0,0,5,8,1400,0,1909,0,98112,47.6221,-122.314,1860,3861,0.7526881720430108,0.0,0.0
28,5101402488,2014,438000.0,3,1.75,1520,6380,1.0,0,0,3,7,790,1,1948,0,98115,47.695,-122.304,1520,6235,1.0,0.0,0.0
29,1873100390,15,719000.0,4,2.5,2570,7173,2.0,0,0,3,8,2570,0,2005,0,98052,47.7073,-122.11,2630,6026,0.9771863117870723,1.0,0.0
30,8562750320,2014,580500.0,3,2.5,2320,3980,2.0,0,0,3,8,2320,0,2003,0,98027,47.5391,-122.07,2580,3980,0.8992248062015504,0.0,1.0
31,2426039314,2014,280000.0,2,1.5,1190,1265,3.0,0,0,3,7,1190,0,2005,0,98133,47.7274,-122.357,1390,1756,0.8561151079136691,0.0,0.0
32,461000390,2014,687500.0,4,1.75,2330,5000,1.5,0,0,4,7,1510,1,1929,0,98117,47.6823,-122.368,1460,5000,1.595890410958904,0.0,0.0
33,7589200193,2014,535000.0,3,1.0,1090,3000,1.5,0,0,4,8,1090,0,1929,0,98117,47.6889,-122.375,1570,5080,0.6942675159235668,0.0,0.0
34,7955080270,2014,322500.0,4,2.75,2060,6659,1.0,0,0,3,7,1280,1,1981,0,98058,47.4276,-122.157,2020,8720,1.0198019801980198,1.0,0.0
